gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
AC008752.3	0.214656	0.035356	0.315337	0.118092	0
AC008753.2	0	0	0	0	0
AC008753.3	0	0	0.075754	0	0
AC008758.2	0.023164	0.038154	0.048613	0	0
AC008758.4	0.043461	0.132942	0.091208	0.034157	0.146386
AC008759.2	0.026832	0.088389	0.140775	0.332134	0.467597
AC008759.3	0	0.365389	0.16627	0.174348	0.194922
AC008760.1	1.431564	0.579814	0.664887	0.903765	0.890127
AC008760.2	0.261004	2.227647	0.435709	0.27739	0.036485
AC008761.1	0	0	0	0	0
AC008761.2	0	0	0	0	0
AC008763.1	3.1129	0.943659	2.705294	2.679132	6.342957
AC008764.2	2.183672	5.853445	2.830486	3.474447	10.051294
AC008764.3	0	0	0	0	0
AC008764.5	0	0	0	0	0
AC008764.6	0.552463	0.358855	0.293934	0.62071	0.973136
AC008764.7	0	0	0	0	0
AC008764.8	0.367373	0.117115	0.310877	0.399326	0.892898
AC008770.3	0.584801	0.453279	0.505348	0.3785	0.493692
AC008771.1	17.950451	18.694248	12.284643	5.864795	12.36776
AC008780.1	0	0	0	0	0
AC008781.1	0.077774	0	0	0.142623	0.079727
AC008781.2	0	0.079155	0.050427	0	0.24632
AC008794.1	0	0	0	0	0
AC008799.2	0	0	0	0	0
AC008805.2	0	0	0	0	0
AC008808.1	0	0	0	0	0
AC008808.2	0.028294	0	0	0.038914	0.029004
AC008825.1	0	0	0	0	0
AC008840.1	0.177109	0.291714	0.018584	0.073077	0.145245
AC008852.1	0	0	0	0	0
AC008869.1	0	0	0	0	0
AC008870.2	0	0	0	0	0
AC008870.3	0.613154	0.38843	0.577399	0.562205	1.48273
AC008870.4	0.150695	0.041368	0	0.138173	0.051493
AC008870.5	0.308119	0.126875	0.161656	0.105944	0.157928
AC008871.1	0	0	0	0	0
AC008875.1	0.039702	0.032696	0.02083	0.136512	0.183145
AC008877.1	0	0	0	0	0
AC008878.4	0	0	0	0	0
AC008883.1	0.333663	0.137393	0	0	0
AC008883.2	0	0	0.040804	0	0
AC008885.2	0	0	0	0	0
AC008892.1	0	0	0	0	0
AC008894.1	0	0	0	0	0.044968
AC008894.2	0.008199	0.006752	0.017207	0.022554	0.142887
AC008897.2	0.122195	0	0.032055	0	0.062632
AC008897.3	0.499976	0.0549	0.139901	0.091686	0.23918
AC008906.1	0.482494	0.476826	0.067505	0.243321	0.082435
AC008906.2	0.169763	0	0.029689	0	0.058009
AC008914.1	0	0	0	0	0
AC008915.2	0.038469	0	0.020183	0	0.059152
AC008915.3	0.927265	0.974302	2.013076	0.857544	5.965492
AC008937.1	0.08807	0.087035	0.036965	0	0.072225
AC008937.2	0.104034	0.042838	0.109164	0.107313	0.026661
AC008937.3	0.293574	0.311963	0.268302	0.130248	0.155326
AC008938.1	0	0.004073	0	0	0
AC008940.1	0.020509	0	0	0	0
AC008945.1	0	0	0	0	0
AC008946.1	1.988504	0.503882	1.484663	2.945286	1.607223
AC008948.1	0	0	0	0	0
AC008957.1	0.083344	0.022879	0.26236	0.191046	0.042718
AC008957.2	0	0	0.042659	0	0
AC008966.1	1.391167	0.805301	1.338116	1.532071	1.167745
AC008966.2	0.781861	0.409752	0.074583	0.342154	0.072863
AC008969.1	0.8886	0.307809	0.842058	0.904639	5.266374
AC008972.1	0.327016	0.124298	0.184768	0.276778	0.206293
AC008972.2	1.042865	1.395622	0.68393	0.76198	0.90201
AC008982.2	0.391868	0.376506	0.548253	0.179653	0.468657
AC008991.1	0	0.054449	0	0	0.033888
AC008992.1	0	0.059455	0	0	0.074006
AC009005.1	1.921461	1.106147	4.130284	2.668358	0.994413
AC009019.1	0.055803	0.022978	0.073193	0.038375	0.057204
AC009021.1	0	0	0	0	0.044009
AC009021.2	0.048317	0	0	0.013291	0
AC009022.1	0.276483	0.264561	0.726672	0.318698	0.920457
AC009032.1	0.074706	0.061524	0.039195	0.205496	0.153164
AC009034.1	0	0.111415	0	0	0.092456
AC009035.1	0	0	0	0	0
AC009039.1	0	0	0	0	0
AC009041.1	0.011641	0	0	0.01601	0
AC009041.2	0	0	0	0	0
AC009041.3	1.312163	0.415624	1.191517	0.208234	0.10347
AC009052.1	0	0	0	0	0
AC009053.3	0.054458	0.067273	0.064286	0.046812	0.006978
AC009053.4	0	0	0	0	0.049634
AC009054.1	0	0	0	0	0
AC009054.2	0.129138	0.212702	0.542023	1.006465	0.308888
AC009055.1	0	0.033952	0	0	0
AC009055.2	0	0	0	0	0
AC009060.1	0	0	0	0.026656	0
AC009061.1	0	0.055825	0	0.186461	0
AC009061.2	0.471197	0.307207	0.185412	0.310531	0.26164
AC009063.1	0	0	0	0	0
AC009063.2	0	0	0.018432	0.036239	0.036014
AC009063.3	0	0.046849	0	0.078241	0
AC009065.2	0.052569	0.021646	0.068951	0.036151	0.040417
AC009065.3	0.232985	0.191873	0.464498	0.128175	0.453785
AC009065.4	0	0	0.026943	0.035315	0.052643
AC009065.5	0.722823	0.351754	0.965318	0.926359	1.364059
AC009065.6	0.216097	0.088983	0.453505	0.26006	0.387665
AC009065.7	0.035305	0	0.148185	0	0
AC009065.8	0	0	0	0	0
AC009065.9	0.980664	0.572063	0.836078	0.983475	1.591702
AC009075.1	0	0	0	0.11326	0.042208
AC009078.2	0	0	0.011723	0.015366	0
AC009081.1	0.028494	0	0	0.03919	0
AC009081.2	0	0	0	0	0
AC009084.1	0	0	0.05329	0.069849	0.052061
AC009087.1	0.130888	0	0	0.060006	0.223624
AC009088.1	0.115961	0	0.02028	0.053163	0.09906
AC009088.2	0	0	0	0	0.071289
AC009088.3	0	0	0	0	0
AC009090.1	0.13491	0.148139	0.141562	0	0.46099
AC009090.2	0	0	0	0	0
AC009090.3	0	0.093865	0.179395	0.07838	0.204467
AC009093.1	0.421847	1.389638	1.094548	0.210979	0.243738
AC009093.2	0.183661	0.674156	0.528596	0.180429	0.112964
AC009093.3	0.007385	0.024327	0.015498	0.040628	0.166548
AC009093.4	0.11479	0.236335	0.813035	0	0.147089
AC009093.5	0	0	0	0	0
AC009093.6	0.174675	0.239754	0.702605	0.04004	0.119374
AC009095.1	0.048565	0	0.140138	0.083493	0.161798
AC009097.1	0.039653	0	0.083217	0.109075	0.081298
AC009097.2	0.034622	0.057025	0.181646	0.714266	0.070983
AC009097.3	0.015815	0	0.033189	0.043501	0.016212
AC009097.4	0	0	0	0	0.02124
AC009102.1	0	0	0	0	0
AC009102.2	0	0	0.010307	0.01351	0.211453
AC009107.1	0	0	0	0	0
AC009107.2	0.195311	0.183825	0.029277	0.07675	0.257419
AC009108.2	0	0	0	0	0
AC009108.3	0.059542	0	0.04806	0.050395	0.098598
AC009110.1	0	0	0	0	0
AC009113.1	1.706795	1.259087	1.237764	2.17525	2.209015
AC009113.2	0	0	0	0	0
AC009117.2	0	0.034617	0	0	0
AC009118.1	0	0	0	0	0.044127
AC009118.2	0.024579	0.040484	0.077373	0.20283	0.025196
AC009118.3	1.088035	0.759359	0.599868	0.22827	1.493438
AC009119.1	0.72311	1.753451	1.812605	3.107925	1.091306
AC009119.2	0	0	0.060011	0	0.08794
AC009120.2	0.502948	0.410178	0.589233	0.725314	0.640716
AC009120.3	0.219678	0.361828	0.559809	0.431623	0.386045
AC009120.4	0.033893	0	0.035564	0	0
AC009120.5	0.088215	0.036324	0.080994	0.106161	0.011304
AC009121.3	0.426372	0	0.015427	0.040442	0.060287
AC009121.4	0.624662	0.023383	0.297938	0.331938	0
AC009123.1	0	0	0.005886	0.04629	0
AC009126.1	0.723704	0.439159	0.279775	0.480214	0.793935
AC009127.1	0	0	0.039655	0	0.03874
AC009133.1	1.534589	0.709041	1.555885	1.452759	1.826451
AC009133.2	0	0	0	0	0
AC009133.3	0.009722	0.016013	0.040804	0.254047	0.059795
AC009133.4	0	0	0	0	0
AC009133.5	0	0	0	0	0
AC009134.1	0	0	0	0	0
AC009135.1	0.124479	0	0	0	0
AC009137.1	0	0	0	0	0
AC009137.2	0	0.041368	0	0.10363	0.051493
AC009139.1	0.666686	0.04067	0.077729	0	0.025312
AC009139.2	0	0	0	0	0
AC009142.1	0	0	0	0	0
AC009145.1	0	0.06124	0.039014	0	0.038114
AC009145.2	0	0.070336	0	0	0
AC009145.3	0	0	0	0	0
AC009148.1	0.119564	0.02954	0.069002	0.11511	0.110309
AC009152.1	0	0	0	0	0.089047
AC009154.1	0.031691	0	0	0	0
AC009154.2	0	0	0	0	0
AC009158.1	0	0	0	0.012911	0
AC009159.1	0.025077	0	0	0	0
AC009159.2	0.026566	0	0.111505	0.146153	0
AC009159.3	0.10012	0.263849	0.189101	0.192781	0.205267
AC009163.1	0	0	0	0	0
AC009163.4	0.056687	0	0.019828	0.077966	0.03874
AC009163.6	0	0	0.049395	0.258974	0.193023
AC009163.7	0.321103	0.342219	0.132132	0.259784	0.296894
AC009166.1	0	0	0	0	0
AC009167.1	0	0	0	0	0
AC009171.2	0.860651	0.500317	0.478105	0.696297	1.660723
AC009185.1	0.17672	0.029107	0.037087	0	0
AC009226.1	0	0.041303	0.03947	0.068979	0.064266
AC009227.1	0.006816	0	0.007152	0.028123	0
AC009227.2	0	0	0	0	0
AC009228.1	0.051353	0.042292	0.161656	0	0.026321
AC009229.1	0.129415	0.085263	0.054319	0	0
AC009229.2	0.183467	0.075546	0.914439	0.063083	0
AC009229.3	0.399626	0	0.059904	0	0
AC009237.14	3.635962	3.659786	4.673676	2.264231	5.145676
AC009237.15	0.739086	2.064183	2.899807	1.01651	0.889407
AC009237.3	0.258726	0.862942	1.299727	0.409218	0.464138
AC009248.2	0	0	0	0	0
AC009262.1	0.031567	0	0.298113	0.130248	0
AC009264.1	0	0	0.004887	0.073669	0
AC009268.2	0.140912	0.116047	0.110895	0.048451	0.252788
AC009269.2	0.034109	0	0	0	0
AC009269.3	0	0	0	0	0
AC009269.4	0	0.035122	0	0	0
AC009269.5	0.164278	0.090193	0.143648	0.075314	0.056134
AC009271.1	0.016964	0.027942	0	0.069997	0
AC009275.1	0.080162	0.550141	0.070096	0.31238	0.109566
AC009276.1	0	0	0	0	0
AC009283.1	54.013542	2.836682	60.972157	5.389661	10.132341
AC009292.1	0.008106	0	0.017012	0.022298	0.01662
AC009292.2	0	0.066127	0	0	0.123467
AC009299.3	0.08451	0.052198	0.022169	0.116232	0.021658
AC009303.2	0.00376	0	0.00789	0.005171	0
AC009303.3	0.021874	0	0	0	0
AC009305.1	0.043748	0	0.045905	0	0
AC009309.2	3.744821	0.172936	3.158268	1.588465	0.35877
AC009312.1	0	0	0	0	0
AC009313.1	0	0	0	0	0
AC009318.1	0.354836	1.555377	1.711526	0.44867	0.463481
AC009318.2	1.95367	6.313527	7.940516	0.680253	1.242194
AC009318.3	1.34427	3.584778	4.802599	0.484224	0.75463
AC009318.4	0.231882	1.63684	2.050803	0.637842	0.407492
AC009320.1	0.184518	0.151959	0.193617	0	0
AC009336.1	0.020733	0.068298	0.065266	0	0.042507
AC009365.1	0	0	0	0	0
AC009365.3	0	0	0	0	0
AC009365.4	0	0	0	0	0
AC009387.1	0	0.060129	0	0.050209	0
AC009396.1	0	0	0	0	0
AC009396.2	0	0	0	0	0
AC009396.3	0	0	0	0	0
AC009403.1	2.353185	0.456915	0.612286	1.5393	1.06885
AC009404.1	0.420532	0.607704	0.424616	0.578383	0.296883
AC009407.1	0	0.044342	0.197745	0.77757	0.137989
AC009411.1	0	0	0	0	0
AC009411.2	0	0	0	0	0
AC009432.1	0	0	0.02607	0	0
AC009435.1	0.028047	0	0	0	0
AC009446.1	0	0	0	0	0
AC009464.1	0.068653	0	0.072039	0.094423	0.105566
AC009468.1	0	0	0	0	0
AC009468.2	0	0	0	0	0
AC009478.1	0	0	0	0	0
AC009480.1	0	0	0.082005	0	0
AC009486.1	0.059407	0.065232	0.083115	0	0
AC009487.1	0	0	0	0	0
AC009487.3	0	0	0	0	0
AC009495.1	0.129833	0	0.181646	0.416655	0.133092
AC009495.2	0.222717	0	0.033385	0.612631	0.065231
AC009495.3	0.227332	0.03404	0.065057	0.682174	0.105927
AC009498.1	0	0	0	0	0
AC009505.1	0	0	0	0	0
AC009506.2	1.174576	1.668394	1.650861	1.052275	0.806393
AC009509.2	0.084789	0.401505	0.111212	0.014577	0.054323
AC009509.3	0	0	0	0	0
AC009509.5	0.37955	0.989822	0.696963	0.043501	0.09727
AC009511.1	0	0	0	0	0
AC009511.2	0	0	0	0	0.024305
AC009518.1	0.010056	0	0.010552	0	0
AC009522.1	0.11803	0	0.04954	0.032467	0
AC009531.1	0	0	0.029126	0	0
AC009542.1	0.025728	0.021188	0.006749	0.026539	0.026374
AC009542.2	0	0	0	0	0
AC009549.1	0.114585	0.125821	0.26051	0.065665	0.078308
AC009554.1	0	0	0	0	0
AC009558.1	0.02771	0	0.029076	0	0
AC009558.2	0	0	0	0	0
AC009560.1	0	0.061099	0	0	0.038026
AC009562.1	0	0	0	0	0
AC009563.1	0	0	0	0	0.087089
AC009567.1	0	0	0	0	0
AC009570.1	0.432194	0.35593	0.090701	0.80247	0.553807
AC009597.1	0	0	0	0	0
AC009623.1	0	0	0	0	0
AC009623.2	0	0	0	0	0
AC009630.1	0.144	0.379489	0.120881	0	0.206662
AC009630.2	0	0	0.014208	0	0.05552
AC009630.3	0	0	0	0	0
AC009646.2	0.01912	0	0	0	0
AC009652.1	0.074533	0	0.078209	0.03417	0.050937
AC009654.1	0	0	0	0	0.021801
AC009656.1	0	0	0	0	0
AC009686.1	0.044229	0	0	0.121661	0.045339
AC009686.2	0.16741	6.709627	1.024709	5.295717	1.830537
AC009690.2	0.158538	0.151621	0.128791	0.196945	0.256883
AC009704.1	0	0	0	0	0
AC009704.2	0.099995	0.0549	0.104926	0	0
AC009716.1	0.242702	0.399751	0.339559	0	0.456125
AC009720.1	0	0	0.028828	0.037785	0
AC009743.1	0	0	0	0	0
AC009754.1	0.059627	0	0.062567	0	0.061124
AC009779.3	3.559012	1.892745	5.525658	4.495963	5.855688
AC009779.6	0	0	0	0	0
AC009803.1	0	0	0	0	0.021023
AC009803.2	0	0	0.101612	0	0
AC009806.1	0.03102	0.204368	0.097648	0.12799	0.063597
AC009812.1	0.72971	1.352132	0.239278	0.250904	2.680445
AC009812.3	0.059848	0.218274	0.035885	0.017639	0.907119
AC009812.4	0.34785	1.043044	0.140386	0.147206	5.111036
AC009831.1	0.325648	0.335232	0.245601	0.629836	0.344256
AC009831.3	0	0	0.051979	0.06813	0
AC009852.1	0	0	0	0	0
AC009878.1	0	0.233972	0.298113	0	0.436856
AC009884.2	0	0	0	0	0
AC009902.2	0.022966	0.189136	0.096394	0.063173	0.070628
AC009902.3	0.007412	0.073251	0.069999	0	0.060786
AC009908.1	0.039076	0	0.041003	0	0
AC009930.1	0	0	0	0	0
AC009948.2	0.026862	0.147479	0.178514	0.123149	0.036715
AC009948.3	0.238507	0.432126	0.525562	0.229623	0.097798
AC009950.1	0.983027	0.262754	0.149296	0.539621	0.119334
AC009955.1	0.059407	0	0	0	0.060898
AC009955.2	0	0	0.031168	0	0.030449
AC009955.3	0.25155	0	0	0.049425	0.18419
AC009955.4	0.266348	0.194977	0.031053	0.244216	0.424721
AC009961.1	0.224585	0.155752	0.403102	0.211343	0.224166
AC009962.1	0.042222	0.09736	0.031013	0.139369	0.086564
AC009965.1	0	0	0.118548	0	0
AC009970.1	0	0.061382	0	0	0
AC009974.1	0.070766	0.349672	0.074255	0.632635	0
AC009987.1	0	0	0	0	0
AC009988.1	0	0	0	0	0.053237
AC009996.1	0.320505	0.121823	0.10348	0.101725	0.202186
AC010082.1	0	0	0	0	0
AC010096.1	0	0	0	0.012956	0
AC010105.1	0	0	0	0	0
AC010132.1	0.028697	0	0	0	0
AC010132.4	0.15299	0.116302	0.074092	0	0.036192
AC010136.1	0	0.046685	0.594826	0.467794	0
AC010139.1	0	0	0	0	0
AC010145.1	0	0	0	0	0
AC010148.1	0.194945	0.089192	0.028411	0.029791	0
AC010149.1	0.116324	0.038319	0.073236	0.063995	0.047698
AC010157.1	0	0	0	0	0
AC010163.1	0	0	0	0	0
AC010163.2	0.08451	0.069598	0	0	0
AC010168.1	0.122521	0.201802	0.205699	0.235914	0.075358
AC010168.2	1.082575	0.25403	0.588207	0.738346	0.352689
AC010173.1	0.18836	0.164247	0.313911	0.259063	0.420253
AC010175.1	0.071872	0.118379	0	0.098849	0
AC010177.2	0	0	0.138468	0	0.045091
AC010181.1	0.030405	0.050079	0.015952	0	0.015584
AC010181.2	0	0	0	0	0
AC010183.1	0	0	0	0	0
AC010183.2	0	0	0	0	0
AC010185.1	0.070611	0.232604	0.185231	0.38846	0
AC010186.1	0.090785	0.099687	0.158769	0	0.031021
AC010186.2	2.124954	3.228797	1.662851	2.533372	2.79013
AC010186.3	1.482824	2.463484	1.333663	1.465555	2.447878
AC010186.4	0	0	0	0	0
AC010196.1	0	0	0	0	0
AC010197.1	0	0	0.029227	0	0.028553
AC010198.1	0.03112	0.017086	0.076193	0	0.021267
AC010201.1	0.17888	0.049105	0.437968	0.410041	0.488991
AC010201.2	0.323061	0.106422	0.77968	0.34065	0.562993
AC010203.1	0.756263	0.301971	0.661294	0.630384	0.669534
AC010203.2	1.193962	0.824686	0.484968	0.052972	0.473783
AC010205.1	0.071711	0.23623	0.075247	0.246573	0.330804
AC010207.1	0.140641	0.054505	0.034724	0.420998	0.101768
AC010210.1	0.463811	0.050508	0.478637	0.073807	0.113952
AC010223.1	0	0	0	0	0
AC010226.1	0.343662	0.500728	0.180304	0.545375	0.528435
AC010230.1	0	0	0	0	0
AC010240.4	0.040758	0.067131	0.042767	0.056056	0.125343
AC010245.1	0	0	0	0	0
AC010245.2	0.538021	0.863444	0.260561	0.436394	0.226268
AC010247.1	0	0.17737	0.037666	0.123424	0.018398
AC010247.2	0.057644	0.094945	0.077769	0.124585	0.042208
AC010255.1	0.022024	0	0.046219	0.03029	0
AC010255.2	0.15046	0.061955	0.07894	0	0
AC010260.1	0.145475	0.07987	0.076324	0.20008	0.024855
AC010261.1	0.070456	0	0.036965	0	0
AC010261.2	0.013795	0.022722	0.043427	0	0.028284
AC010266.1	0	0	0	0	0
AC010266.2	0	0.008146	0	0.006803	0.01014
AC010267.1	0	0	0	0	0
AC010271.1	0.028852	0.047521	0.181646	0.396814	0.14788
AC010271.2	0.02738	0	0	0.301255	0.056134
AC010273.2	0.357382	0.224244	0.089287	0.070219	0.122118
AC010273.3	0.073512	0.121081	0.038569	0	0.037679
AC010275.1	0.028494	0.046932	0.38869	0.235139	0
AC010280.1	0.378805	0	0	0.195373	0
AC010280.2	0.078533	0	0.206013	0.216022	0.161009
AC010280.3	0.027426	0	0	0	0
AC010285.1	0	0	0.118756	0.077829	0.058009
AC010300.1	0.056445	0.02066	0.174393	0.418348	0.163941
AC010307.2	0	0.097488	0.020702	0.027135	0.242698
AC010307.3	0	0	0.005152	0.006753	0
AC010307.4	1.393203	0.191227	0.203042	0	0.476061
AC010319.3	0	0	0	0	0
AC010319.4	0.675655	0.613993	0.415603	0.737006	1.576305
AC010319.5	0.042422	0	0.022257	0.029173	0.021744
AC010320.2	0.027853	0.045877	0	0	0.085658
AC010320.3	0	0	0	0	0.044166
AC010320.4	0.108049	0.118643	0.264545	0.247676	0.03692
AC010320.5	0.016902	0.01392	0.026603	0.011623	0.017326
AC010325.2	0	0	0	0	0.063475
AC010326.4	4.149286	5.233068	6.692537	7.598146	284.690321
AC010326.5	2.838005	2.493034	3.735965	5.228028	136.329653
AC010327.4	0.019597	0.016139	0.030846	0	0
AC010327.5	0.653361	0	0.032136	0.884566	0.722091
AC010328.1	0.015861	0.006531	0.070734	0.010908	0
AC010328.3	0.058225	0	0	0	0
AC010329.1	1.326137	0.710044	1.444267	0.002659	0.473622
AC010331.1	0.276619	0.045562	0.232207	0.342406	0.311921
AC010333.1	0.028595	0	0	0.157316	0.058627
AC010333.2	0.023065	0.03799	0.024202	0	0
AC010333.3	0	0	0	0	0.041053
AC010335.1	0	0.044268	0.028202	0	0.027552
AC010336.1	0.033972	0	0.049906	0.046723	0.034825
AC010336.2	0.413617	0.10481	0.066771	0.218797	0.391386
AC010336.3	0	0	0	0	0
AC010336.4	0	0	0	0	0
AC010336.5	0	0	0	0.031012	0.069342
AC010336.6	0	0	0	0	0
AC010343.3	0	0.027086	0.017255	0	0.016857
AC010359.2	0.952617	0.104603	0.266557	0.262038	0.520818
AC010387.1	0	0	0	0	0
AC010395.1	0	0	0	0	0
AC010401.1	0.022725	0.010694	0.027252	0.013395	0.03328
AC010401.2	0.027662	0	0	0	0.028356
AC010406.1	0.174046	0.095556	0.121752	0.079792	0.089208
AC010420.1	0	0.052096	0	0	0.09727
AC010422.1	0.237189	0.097668	0.093332	0.285443	0.030393
AC010422.2	0.228178	0	0.266032	0.03487	0.129948
AC010422.4	0.030205	0.0995	0.031694	0	0.340596
AC010424.2	0	0	0	0	0
AC010425.1	0.02906	0.047864	0	0	0.327686
AC010442.1	5.250002	2.971877	2.949873	4.37081	8.442646
AC010445.1	0	0	0	0	0
AC010451.1	0	0	0	0	0
AC010451.2	0	0	0	0.034489	0
AC010451.3	0	0	0	0	0
AC010457.1	0.04435	0.255672	0.069806	0	0.250052
AC010463.2	0	0	0	0.033498	0.074902
AC010463.3	0.482977	0.212135	0.202717	0.752836	1.05622
AC010468.2	0	0	0	0	0
AC010478.1	0.009004	0.003708	0.02362	0.006192	0.00923
AC010485.1	0	0	0	0.015941	0
AC010486.1	0	0	0	0.052222	0
AC010486.2	0	0	0	0	0
AC010486.3	0	0	0	0.056413	0
AC010487.1	0.66252	0.327368	1.320856	0.182241	0.373535
AC010491.1	0.201456	0.037922	0.138913	0.33249	0.123909
AC010501.2	0.016411	0.243274	0.01722	0	0.176642
AC010503.2	0	0	0	0	0
AC010503.3	0	0	0	0	0
AC010503.5	19.843238	17.729264	10.509054	24.008878	51.789121
AC010504.1	1.486083	0.589263	0.433155	1.059799	1.579816
AC010511.1	0	0	0	0	0
AC010519.1	0.0936	0	0.196431	0	0.09595
AC010524.1	0	0.053678	0.102589	0.179289	0.033408
AC010525.1	0.073012	0	0.114919	0.050209	0.486496
AC010528.1	0	0	0	0	0
AC010530.1	0.14147	0.046602	0.089067	0.077829	0.087013
AC010531.3	0	0.05169	0.03293	0.043162	0.096511
AC010531.4	0	0	0	0	0
AC010531.5	0.071552	0.117853	0.07508	0.09841	0
AC010531.6	0.52192	0	0.168509	1.822179	0.699647
AC010531.7	0	0	0	0	0
AC010536.1	0.160314	0.040623	0.142339	0.525783	0.328678
AC010536.2	0.190523	0.078452	0.049979	0.196529	0
AC010536.3	0	0	0.031694	0.166171	0.340596
AC010538.1	0.242824	0.159981	0.382196	0.300573	0.174244
AC010542.1	0	0.047778	0	0.079792	0.059472
AC010542.2	0	0	0	0	0
AC010542.4	0	0.111065	0	0.011593	0.017281
AC010542.6	1.053615	1.318899	0.796008	1.101315	0.604838
AC010547.1	0.138339	0.018988	0.030242	0.023783	0.029544
AC010547.2	0	0	0	0	0
AC010547.3	0	0	0	0	0.037508
AC010551.1	0	0	0	0	0.035189
AC010551.2	0	0	0.081217	0	0
AC010551.3	0	0	0	0	0
AC010595.1	0.1108	0.054749	0.023253	0.015239	0
AC010601.1	0	0	0.022828	0	0
AC010605.1	0.0404	0	0.063587	0	0
AC010608.1	0.058543	0	0	0	0
AC010609.1	0	0	0	0	0
AC010615.2	3.791735	0.350397	0.958565	0.210837	0.881936
AC010618.2	0.349983	0	0.18362	0.433218	1.040434
AC010618.3	0.210295	0.230916	0.310564	0.632023	0.598818
AC010619.3	0.01133	0.037321	0.011888	0.046746	0.023228
AC010624.1	0.095012	0.034776	0.221548	0	0.173151
AC010624.2	0	0	0	0	0
AC010624.3	0.045286	0.037295	0.095038	0	0.092846
AC010632.1	0.112582	0.046358	0.295333	0	0.230817
AC010632.2	0.013153	0.021664	0.041405	0.01809	0.053933
AC010634.1	0	0	0	0	0
AC010636.1	0.769072	0.253345	9.63012	0	0
AC010636.2	0	0	0	0	0
AC010638.1	0.025473	0	0	0	0
AC010641.1	0	0	0	0	0
AC010643.1	4.450354	0.048759	2.604109	0.027143	0.025289
AC010649.1	0	0	0	0	0
AC010654.1	1.972554	0.426632	1.505322	0.87692	0.490201
AC010655.2	0.316148	0.3605	0.229664	0.836187	0.423804
AC010655.4	0.022771	0.037506	0	0	0
AC010680.1	0.008969	0	0.014117	0	0
AC010680.2	0.228142	0.100205	0.367067	0.2824	0.015591
AC010680.3	0.12384	0.050994	0.19492	0	0
AC010680.4	0.326135	0	0.311106	0	0
AC010680.5	0.208629	0.286359	0.109458	0.047823	0
AC010719.1	0.732763	0.141991	3.301722	0.474265	0.066279
AC010722.1	0	0	0	0	0
AC010723.1	0	0	0	0	0
AC010729.1	0.036883	0	0.125779	0	0
AC010729.2	0.228263	0	0.352232	0.110804	0.013764
AC010731.3	0	0	0	0.15097	0
AC010731.4	0	0	0	0	0
AC010733.2	0	0	0	0	0
AC010735.1	0.031383	0.05169	0.148185	0	0.096511
AC010735.2	0.496209	0.817299	1.214912	0.113744	1.356447
AC010737.1	0	0	0	0	0
AC010745.1	0	0	0	0	0
AC010745.2	0	0	0	0	0
AC010745.3	0	0	0	0	0
AC010745.4	0	0	0	0	0
AC010746.2	0	0	0	0	0
AC010754.1	0.030347	0.049985	0.031844	0.020869	0.466638
AC010760.1	0	0	0	0	0
AC010761.1	1.235647	0.353951	3.213251	1.108343	2.000973
AC010761.2	0	0	0	0	0
AC010761.3	0.258104	0.21256	2.606745	0.709971	1.289848
AC010761.4	0.278106	0.101792	0.90788	0.212497	0.570176
AC010761.5	0	0	0	0	0
AC010761.6	0	0	1.286274	0	0.335095
AC010768.1	0	0	0	0.040778	0
AC010768.2	0	0	0	0	0
AC010768.4	0	0	0	0	0
AC010776.1	0	0	0	0	0
AC010776.2	0	0	0	0	0
AC010776.3	0	0	0	0	0
AC010789.1	0	0	0.116103	0.07609	0
AC010809.1	0.200524	0.141549	0.420824	0.275793	0.234924
AC010809.2	0.116903	0.082521	0.140191	0.206722	0.376634
AC010809.3	0	0.082736	0.079063	0	0.102986
AC010834.1	0	0	0	0	0
AC010834.2	0.212631	0.100063	0.095621	0.376	0
AC010834.3	2.486037	1.383731	3.00441	2.381646	1.687252
AC010857.1	1.951422	0	0.312834	0	0
AC010864.1	0.458151	0.140393	0.145341	0.381005	0.404121
AC010880.1	0	0	0	0	0
AC010883.1	0.444954	0.13325	0.764008	1.33521	0.456125
AC010889.1	0	0	0	0	0
AC010891.1	0	0	0	0	0
AC010894.2	3.297188	0.771032	2.157015	0.587847	0.584192
AC010894.3	0.086999	0.028659	0.031951	0.005983	0.013378
AC010894.4	0	0	0	0	0
AC010904.2	0.050786	0.334597	0.026645	0	0.026031
AC010907.1	0	0	0	0	0.081801
AC010907.2	0	0	0.048753	0	0
AC010913.1	0.144837	0.018351	0.023381	0.084278	0.045684
AC010928.1	0	0	0.009984	0	0
AC010931.1	0.02486	0.270245	0.135645	0.020515	0.183485
AC010931.2	0	0	0	0	0
AC010967.1	0	0	0	0	0
AC010967.2	0	0	0	0	0
AC010969.1	0.013349	0.010994	0	0	0.082107
AC010969.2	1.360288	1.001254	2.012946	1.219845	1.828607
AC010973.1	0.189032	0.155676	0.099176	0	0.226074
AC010973.2	0.196332	0.194025	0.096139	0.306031	0.402523
AC010974.1	0	0	0.045169	0	0
AC010976.1	0.081811	0.05775	0.049054	0.076353	0.053913
AC010976.2	0.018896	0.062246	0	0.025989	0.232443
AC010978.1	0.007433	0	0.007799	0.010223	0
AC010980.2	0.205231	0.093898	0.023928	0.047044	0.023376
AC010982.2	0	0	0	0	0
AC010983.1	0	0	0	0	0
