gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
AC008507.2	0.041069	0.045097	0.014365	0	0.070168
AC008514.1	0.040552	0.022264	0.028368	0.018591	0.152425
AC008517.1	0	0	0	0	0
AC008522.1	0.016631	0.009131	0	0.007625	0.022732
AC008525.1	0.095262	0	0	0	0
AC008525.2	0	0	0	0	0
AC008534.1	0	0	0	0	0
AC008537.2	0.668018	3.300848	1.682296	0.091876	0.616311
AC008539.1	0	0	0	0	0
AC008543.1	0.285532	0.156765	0.214721	0.22908	0.409781
AC008543.3	0	0.054006	0.068811	0.180385	0.067224
AC008543.4	0.072847	0.179978	0.152878	0	0.224029
AC008543.5	0.032006	0	0.013434	0	0
AC008549.1	0	0	0	0	0
AC008549.2	0	0	0	0	0
AC008551.1	0.039751	0	0	0	0
AC008554.1	0.019851	0	0	0.027302	0
AC008555.1	0.081752	0.81753	0.502441	0.1285	1.436643
AC008555.2	0.035367	0.073787	0.153393	0.038914	0.084596
AC008555.4	0.573607	1.354184	2.066491	0.683727	1.41122
AC008555.5	0	0	0.110653	0	0.072067
AC008556.1	0.986472	2.222733	8.247788	5.654953	0.889891
AC008567.2	0.024542	0.040422	0.103006	0	0
AC008568.1	0	0.019548	0	0	0
AC008569.1	0	0	0	0	0
AC008569.2	0.072437	0	0.133016	0.074721	0.538357
AC008572.1	0	0	0	0	0
AC008574.1	0	0	0	0	0
AC008581.1	0	0	0	0	0
AC008588.1	0.034847	0	0	0	0
AC008591.1	0.036548	0	0	0.025133	0
AC008592.1	0.094701	0	0	0.02605	0.019416
AC008592.2	0	0	0	0	0
AC008592.4	0.035776	0	0.03754	0	0
AC008592.5	0.147159	0.096954	0.123532	0.040479	0.030171
AC008601.1	0	0	0	0	0
AC008608.2	0.851402	0.318712	0.690341	1.330663	0.833106
